beta,B,Df,phi,gamma,P,Q_ult
10,2.0,2.0,15,19,100,542.962
10,0.5,0.5,20,19,50,55.588
10,0.5,0.5,20,19,75,74.688
10,0.5,0.5,20,19,100,91.095
10,1.0,0.5,20,19,50,247.096
10,1.0,1.0,20,19,50,310.214
10,1.0,0.5,20,19,75,247.468
10,1.0,1.0,20,19,75,310.363
10,1.0,0.5,20,19,100,248.118
10,1.0,1.0,20,19,100,310.329
10,1.5,0.5,20,19,50,335.841
10,1.5,1.0,20,19,50,443.59
10,1.5,1.5,20,19,50,553.875
10,1.5,0.5,20,19,75,335.961
10,1.5,1.0,20,19,75,443.783
10,1.5,1.5,20,19,75,553.754
10,1.5,0.5,20,19,100,336.03
10,1.5,1.0,20,19,100,443.347
10,1.5,1.5,20,19,100,557.488
10,2.0,0.5,20,19,50,464.038
10,2.0,1.0,20,19,50,596.014
10,2.0,0.5,20,19,75,464.211
10,2.0,1.0,20,19,75,596.103
10,2.0,0.5,20,19,100,464.091
10,2.0,1.0,20,19,100,596.281
10,0.5,0.5,25,19,50,55.937
10,0.5,0.5,25,19,75,77.71
10,0.5,0.5,25,19,100,96.664
10,1.0,0.5,25,19,50,293.691
10,1.0,1.0,25,19,50,458.631
10,1.0,0.5,25,19,75,293.736
10,1.0,1.0,25,19,75,459.085
10,1.0,0.5,25,19,100,294.412
10,1.0,1.0,25,19,100,459.873
10,1.5,0.5,25,19,50,512.003
10,1.5,0.5,25,19,75,512.131
10,1.5,0.5,25,19,100,512.385
10,0.5,0.5,10,21,50,47.473
10,0.5,0.5,10,21,75,60.276
10,0.5,0.5,10,21,100,66.984
10,1.0,0.5,10,21,50,55.076
10,1.0,1.0,10,21,50,96.795
10,1.0,0.5,10,21,75,73.514
10,1.0,1.0,10,21,75,74.865
10,1.0,0.5,10,21,100,89.368
10,1.0,1.0,10,21,100,92.471
10,1.5,0.5,10,21,50,57.265
10,1.5,1.0,10,21,50,199.076
10,1.5,1.5,10,21,50,239.138
10,1.5,0.5,10,21,75,80.3925
10,1.5,1.0,10,21,75,199.075
10,1.5,1.5,10,21,75,239.14
10,1.5,0.5,10,21,100,96.951
10,1.5,1.0,10,21,100,199.065
10,1.5,1.5,10,21,100,239.134
10,2.0,0.5,10,21,50,205.1
10,2.0,1.0,10,21,50,256.143
10,2.0,1.5,10,21,50,301.641
10,2.0,2.0,10,21,50,341.103
10,2.0,0.5,10,21,75,206.02
10,2.0,1.0,10,21,75,256.742
10,2.0,1.5,10,21,75,301.645
10,2.0,2.0,10,21,75,341.094
10,2.0,0.5,10,21,100,206.532
10,2.0,1.0,10,21,100,256.183
10,2.0,1.5,10,21,100,301.642
