beta,B,Df,phi,gamma,P,Q_ult
30,1.5,1.5,20,21,100,201.883
30,0.5,0.5,25,21,100,91.61
20,2.0,2.0,20,17,75,495.871
20,1.5,1.5,25,21,50,479.338
20,0.5,0.5,15,21,100,86.276
20,2.0,1.0,10,17,75,115.665
40,2.0,1.0,15,17,75,64.559
20,2.0,1.5,10,17,100,131.469
40,1.5,1.0,15,17,100,86.078
20,2.0,1.5,20,19,100,441.976
10,1.0,0.5,10,17,75,70.596
10,0.5,0.5,10,19,75,58.393
20,2.0,1.0,10,19,50,117.095
30,2.0,2.0,10,19,75,64.559
20,1.5,0.5,20,21,75,237.474
30,1.5,0.5,20,21,100,108.983
30,1.0,0.5,15,17,75,64.559
20,2.0,0.5,10,19,50,94.671
30,1.0,0.5,20,21,75,75.428
20,1.0,0.5,15,19,50,84.925
20,0.5,0.5,20,21,100,88.261
40,2.0,1.5,25,19,100,263.232
10,0.5,0.5,15,21,100,83.004
40,1.5,1.0,25,17,75,98.963
20,0.5,0.5,25,21,75,74.436
30,1.5,1.5,25,17,75,307.425
20,2.0,0.5,20,21,50,325.582
10,1.0,1.0,20,17,75,211.886
40,1.5,1.0,25,19,100,99.624
10,1.0,0.5,20,17,100,157.235
20,1.5,1.0,15,19,100,180.493
10,1.5,1.0,10,21,100,199.065
10,1.5,0.5,10,17,75,74.805
20,1.5,1.5,20,21,50,364.246
30,2.0,0.5,25,17,75,240.656
20,1.0,1.0,10,17,100,86.07
20,1.5,1.5,10,21,100,94.288
30,2.0,1.0,15,21,100,110.856
40,2.0,0.5,20,19,50,68.852
30,2.0,0.5,10,19,50,43.039
30,2.0,2.0,10,17,50,51.975
40,1.0,1.0,20,17,50,48.439
40,2.0,1.5,15,21,75,64.559
20,2.0,1.5,20,19,50,441.892
20,1.0,1.0,25,21,50,219.295
30,1.0,1.0,15,19,50,51.373
40,1.0,0.5,15,21,75,64.559
20,1.5,1.5,20,21,100,365.103
30,1.0,1.0,20,17,100,95.843
40,1.0,0.5,15,19,75,64.559
10,2.0,0.5,20,21,50,489.085
40,1.0,0.5,20,21,100,86.078
20,1.5,1.5,20,17,50,338.554
10,1.5,0.5,15,21,75,242.473
40,1.5,0.5,25,19,75,78.149
20,1.5,0.5,10,21,100,90.078
10,0.5,0.5,10,17,100,62.36
10,1.0,1.0,10,17,75,72.225
20,2.0,1.0,20,17,50,365.44
20,2.0,1.5,10,17,50,130.836
40,2.0,1.0,25,17,100,181.546
20,1.0,0.5,20,21,50,137.103
30,1.5,1.0,20,19,50,153.071
30,1.5,1.5,20,17,50,184.959
40,1.0,0.5,10,17,50,43.039
10,2.0,1.5,10,21,50,301.641
20,2.0,1.0,25,19,50,600.805
40,1.0,0.5,25,19,75,71.58
10,2.0,1.0,10,17,100,240.887
30,2.0,0.5,25,19,75,262.985
40,1.5,1.5,20,21,75,118.736
40,2.0,1.0,20,17,50,108.578
20,0.5,0.5,15,21,50,49.864
30,0.5,0.5,15,21,75,64.559
20,1.5,1.5,15,21,100,209.656
30,1.5,1.5,10,17,50,43.039
30,1.0,1.0,25,19,75,79.9875
20,1.5,1.0,25,21,75,373.731
20,1.0,0.5,20,17,50,119.44
40,2.0,1.0,15,19,50,43.039
30,1.0,0.5,10,17,50,43.039
10,0.5,0.5,20,21,75,74.985
20,0.5,0.5,10,17,50,43.518
10,2.0,2.0,10,17,75,313.844
20,1.5,0.5,15,17,100,77.134
30,2.0,2.0,10,19,50,44.966
10,1.5,1.5,15,17,100,339.988
20,2.0,1.0,10,17,100,114.673
10,1.0,0.5,10,19,100,88.225
40,0.5,0.5,20,21,100,86.078
10,2.0,2.0,15,17,75,510.187
40,2.0,1.5,25,17,100,253.683
10,2.0,0.5,10,21,50,205.1
10,2.0,2.0,10,19,50,327.544
40,2.0,1.5,15,19,100,86.078
20,1.0,1.0,15,21,50,110.12
10,1.5,0.5,20,17,75,318.723
20,1.5,0.5,20,21,50,237.425
10,1.5,0.5,15,17,100,220.192
30,1.0,0.5,15,21,100,86.078
30,2.0,0.5,10,17,50,43.039
40,2.0,2.0,20,21,50,189.98
20,2.0,1.0,20,21,50,395.308
20,0.5,0.5,20,19,50,52.244
20,1.0,0.5,25,21,75,158.448
40,2.0,0.5,25,17,75,79.226
20,1.0,1.0,20,21,75,178.915
10,0.5,0.5,20,17,50,53.519
10,1.0,1.0,25,17,100,258.136
20,1.0,1.0,10,21,100,86.078
10,1.5,0.5,25,19,100,512.385
10,0.5,0.5,25,21,75,77.839
20,1.0,1.0,20,17,100,168.668
20,0.5,0.5,10,21,50,44.605
30,1.5,0.5,20,19,75,126.853
20,0.5,0.5,20,21,50,53.433
10,2.0,1.0,20,19,100,596.281
10,1.5,1.5,10,19,50,230.708
30,1.0,0.5,20,19,100,95.279
40,2.0,0.5,20,21,100,86.078
10,1.5,0.5,10,21,50,57.265
20,1.5,0.5,25,21,50,283.232
30,1.0,1.0,20,21,50,57.296
40,1.5,1.5,20,19,100,113.882
30,1.5,0.5,15,21,100,86.078
40,2.0,2.0,20,21,100,189.944
20,2.0,0.5,15,21,50,200.025
10,0.5,0.5,25,19,50,55.937
10,1.0,1.0,15,19,100,215.657
30,1.0,0.5,25,17,100,98.903
10,2.0,0.5,20,17,75,438.875
30,1.5,1.0,15,21,100,86.078
20,2.0,0.5,10,21,75,96.676
20,1.5,0.5,25,21,100,283.877
20,1.5,0.5,20,19,100,229.626
10,1.0,1.0,20,19,75,310.363
10,2.0,1.0,15,21,75,417.057
20,1.5,1.0,10,17,100,90.531
30,1.5,0.5,10,21,75,64.559
40,2.0,0.5,15,17,100,86.078
20,1.5,1.0,15,17,75,99.7575
10,1.5,0.5,25,17,100,461.765
20,2.0,1.0,15,21,75,226.931
30,1.5,0.5,20,17,100,125.834
30,0.5,0.5,20,21,50,51.361
40,1.5,0.5,20,17,100,86.078
40,0.5,0.5,20,17,50,43.039
30,2.0,0.5,15,19,100,96.696
40,2.0,1.0,20,19,100,114.637
20,1.5,1.5,10,17,50,68.352
